UNIQUE_ID,AGE,EDUCATION,MARITAL_STATUS,OCCUPATION,RELATIONSHIP,RACE,GENDER,NATIVE_COUNTRY,EMPLOYER_TYPE,CAPITAL_GAIN,CAPITAL_LOSS,HOURS_PER_WEEK,INCOME_NUM,INCOME
10444,33,5th-6th,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Self-emp-not-inc,0,0,50,90290,>50K
10451,44,bachelors,Divorced,Sales,Unmarried,White,Female,United States,Private,0,0,35,47848,<=50K
10454,27,bachelors,Never-married,Adm-clerical,Not-in-family,White,Female,United States,Private,0,0,40,28008,<=50K
10455,47,bachelors,Married-civ-spouse,Protective-serv,Husband,Black,Maale,United States,Federal-gov,0,0,50,68241,>50K
10460,41,masters,Divorced,Handlers-cleaners,Unmarried,White,Maale,Peru,Self-emp-not-inc,0,0,40,36771,<=50K
10465,33,bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Maale,United States,Self-emp-not-inc,0,0,25,85801,>50K
10467,42,some-college,Married-civ-spouse,Prof-specialty,Husband,White,Maale,United States,Private,0,0,40,57845,>50K
10478,26,bachelors,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Female,South,Private,0,0,40,30204,<=50K
10479,46,assoc-acdm,Married-civ-spouse,Protective-serv,Husband,White,Maale,United States,Local-gov,0,0,49,76327,>50K
10481,38,some-college,Married-civ-spouse,Craft-repair,Husband,White,Maale,United States,Private,0,0,40,43157,<=50K
10483,33,some-college,Divorced,Sales,Not-in-family,White,Maale,United States,Private,0,0,40,47349,<=50K
10486,26,some-college,Never-married,Prof-specialty,Not-in-family,White,Female,Mexico,Self-emp-not-inc,0,0,4,27926,<=50K
10502,22,bachelors,Never-married,Prof-specialty,Not-in-family,White,Maale,United States,Private,0,0,40,23212,<=50K
10504,39,5th-6th,Separated,Sales,Unmarried,Black,Female,Puerto-Rico,Private,0,0,30,24726,<=50K
10518,44,assoc-voc,Divorced,Transport-moving,Not-in-family,White,Maale,United States,Private,0,0,40,26523,<=50K
10520,37,hs-grad,Married-civ-spouse,Other-service,Husband,Black,Maale,United States,Private,0,0,40,22090,<=50K
10528,42,10th,Married-civ-spouse,Craft-repair,Husband,White,Maale,United States,Private,0,0,35,21081,<=50K
1053,18,hs-grad,Never-married,Other-service,Own-child,White,Female,United States,Private,0,0,20,25762,<=50K
10530,34,hs-grad,Never-married,Sales,Own-child,White,Female,United States,Private,0,0,40,46144,<=50K
10535,39,hs-grad,Divorced,Adm-clerical,Unmarried,Black,Female,United States,Private,0,0,38,38306,<=50K
10539,18,hs-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,United States,Private,0,0,30,39875,<=50K
10547,29 YEARS OLD,bachelors,Never-married,Sales,Not-in-family,White,Female,United States,Private,3325,0,45,43995,<=50K
10550,45,some-college,Divorced,Adm-clerical,Unmarried,Black,Female,United States,Local-gov,6497,0,35,21121,<=50K
10556,27,assoc-voc,Divorced,Machine-op-inspct,Not-in-family,White,Maale,United States,Private,0,0,40,21038,<=50K
10559,49,masters,Married-civ-spouse,Exec-managerial,Husband,White,Maale,United States,Private,0,0,45,99424,>50K
10562,25,hs-grad,Never-married,Machine-op-inspct,Not-in-family,Black,Female,United States,Private,0,0,40,43124,<=50K
10568,44,masters,Never-married,Farming-fishing,Own-child,White,Male,United States,Self-emp-not-inc,0,0,99,31829,<=50K
10569,48,hs-grad,Divorced,Transport-moving,Not-in-family,White,Male,United States,Private,0,0,65,24145,<=50K
10571,18,hs-grad,Never-married,Adm-clerical,Own-child,White,Female,United States,Private,0,0,15,41349,<=50K
10577,31,7th-8th,Divorced,Transport-moving,Unmarried,White,Male,United States,Private,0,0,20,42221,<=50K
10581,31,hs-grad,Never-married,Exec-managerial,Unmarried,White,Female,United States,Private,0,0,40,27535,<=50K
10588,31,bachelors,Never-married,Farming-fishing,Not-in-family,White,Male,United States,Private,0,0,40,34377,<=50K
1059,42,assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,United States,Private,0,0,40,77771,>50K
10594,37,some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,0,0,40,60443,>50K
10608,45,hs-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United States,Private,0,0,45,58744,>50K
10610,35,some-college,Married-civ-spouse,Adm-clerical,Wife,White,Female,United States,Private,7688,0,20,93331,>50K
10611,33,hs-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,0,0,40,45874,<=50K
10613,21,hs-grad,,Farming-fishing,Own-child,White,Male,United States,Private,0,0,20,40659,<=50K
10629,39,bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United States,Private,0,0,40,81138,>50K
1063,36,10th,Divorced,Exec-managerial,Unmarried,White,Female,United States,Private,0,0,40,21206,<=50K
10635,49,bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United States,State-gov,0,0,42,94346,>50K
1064,28,hs-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United States,Private,0,0,40,30014,<=50K
10658,41 years old,some-college,Separated,Craft-repair,Not-in-family,Black,Male,United States,Private,0,0,40,20085,<=50K
10661,24,12th,Never-married,Farming-fishing,Own-child,Black,Male,United States,Private,0,0,40,39721,<=50K
10663,23,some-college,Never-married,Adm-clerical,Own-child,White,Male,United States,State-gov,0,0,25,25527,<=50K
10668,39,masters,Divorced,Prof-specialty,Not-in-family,White,Female,United States,Local-gov,0,0,40,46539,<=50K
10669,40,bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United States,Local-gov,0,0,48,37875,<=50K
10684,27,hs-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,0,0,60,29476,<=50K
10685,32,bachelors,Never-married,Adm-clerical,Own-child,White,Female,United States,Private,0,0,40,31648,<=50K
10687,33,some-college,Divorced,Adm-clerical,Not-in-family,White,Female,United States,Private,0,0,40,38831,<=50K
10690,35,prof-school,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,India,Private,0,0,40,56733,>50K
10699,23,some-college,Never-married,Adm-clerical,Own-child,White,Female,United States,Private,0,1617,25,38819,<=50K
1070,34,hs-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,0,0,35,89543,>50K
10702,31,masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United States,Private,0,0,50,32738,<=50K
1071,28,bachelors,Never-married,Tech-support,Not-in-family,White,Female,United States,Private,0,0,35,31744,<=50K
10723,38,some-college,Separated,Adm-clerical,Unmarried,Black,Female,United States,State-gov,0,0,38,28589,<=50K
10725,48,assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Male,United States,Self-emp-inc,0,0,50,89009,>50K
10727,37,hs-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,United States,Self-emp-not-inc,0,1848,65,52118,>50K
10732,41 years old,bachelors,Divorced,Exec-managerial,Not-in-family,White,Male,United States,State-gov,0,0,40,28489,<=50K
10735,36,bachelors,Married-civ-spouse,Exec-managerial,Wife,White,Female,United States,Federal-gov,0,0,40,39745,<=50K
10738,18,some-college,Never-married,Other-service,Own-child,White,Female,United States,Private,0,0,16,47175,<=50K
10740,33,hs-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United States,Private,0,0,40,32405,<=50K
10748,36,hs-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,0,0,40,43883,<=50K
10750,30,hs-grad,Married-civ-spouse,Craft-repair,Husband,Black,Male,United States,Private,0,0,40,42545,<=50K
10752,43,assoc-acdm,Married-civ-spouse,Tech-support,Husband,White,Male,United States,Local-gov,0,0,43,29862,<=50K
10754,34,bachelors,Never-married,Other-service,Not-in-family,White,Male,United States,Local-gov,0,0,14,32966,<=50K
10757,41 years old,prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United States,Local-gov,0,0,50,81742,>50K
10762,18,hs-grad,Never-married,Handlers-cleaners,Own-child,White,Male,United States,Private,2176,0,25,26458,<=50K
10765,24,hs-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,United States,Private,0,0,40,47006,<=50K
10766,27,assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,United States,State-gov,0,0,40,45555,<=50K
10768,44,bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United States,State-gov,5013,0,40,28015,<=50K
10777,25,bachelors,Never-married,Adm-clerical,Own-child,White,Female,United States,Private,0,0,40,27475,<=50K
1079,34,hs-grad,Divorced,Handlers-cleaners,Own-child,White,Male,United States,Private,0,0,40,24845,<=50K
10799,26,some-college,Married-civ-spouse,Sales,Wife,Black,Female,United States,Private,0,0,40,27875,<=50K
1080,49,hs-grad,Never-married,Adm-clerical,Not-in-family,White,Female,United States,Private,0,0,44,36688,<=50K
10802,22,assoc-acdm,Never-married,Exec-managerial,Not-in-family,White,Male,United States,Private,0,0,55,21325,<=50K
10805,44,hs-grad,Divorced,Adm-clerical,Not-in-family,White,Female,United States,Private,0,0,40,26319,<=50K
10807,34,bachelors,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Self-emp-not-inc,0,0,40,31347,<=50K
10812,46,hs-grad,Never-married,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Male,United States,Federal-gov,0,0,40,49803,<=50K
10817,28,assoc-voc,Never-married,Sales,Not-in-family,White,Male,United States,Private,0,0,40,32163,<=50K
10820,32,hs-grad,Never-married,Handlers-cleaners,Not-in-family,White,Female,United States,Private,0,0,40,22477,<=50K
10822,36,bachelors,Divorced,Prof-specialty,Unmarried,White,Maale,United States,Private,0,0,45,47151,<=50K
10825,48,masters,Married-civ-spouse,Transport-moving,Husband,White,Maale,United States,Private,0,0,55,64249,>50K
10849,39,bachelors,Married-civ-spouse,Craft-repair,Husband,White,Maale,United States,Local-gov,0,0,40,36361,<=50K
10853,27,5th-6th,Married-civ-spouse,Transport-moving,Husband,White,Male,Mexico,Private,0,0,40,48653,<=50K
10859,37,prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,United States,Private,0,0,40,90251,>50K
1086,41,hs-grad,Never-married,Craft-repair,Own-child,Black,Female,United States,Private,0,0,35,25573,<=50K
1087,47,hs-grad,,Adm-clerical,Unmarried,White,Female,United States,Private,0,0,40,37901,<=50K
10871,46,bachelors,Married-civ-spouse,Sales,Husband,White,Male,United States,Self-emp-inc,99999,0,72,55274,>50K
10872,43,bachelors,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,South,Self-emp-not-inc,0,0,60,24232,<=50K
10874,26,bachelors,Never-married,Prof-specialty,Own-child,White,Female,United States,Local-gov,0,0,35,31468,<=50K
10891,24,hs-grad,Separated,Other-service,Unmarried,White,Female,United States,Private,0,0,25,26756,<=50K
10894,24,hs-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,Female,United States,Private,0,0,40,49665,<=50K
10895,43,some-college,Divorced,Adm-clerical,Unmarried,White,Female,United States,Local-gov,0,0,40,26532,<=50K
1090,46,bachelors,Never-married,Sales,Not-in-family,White,Male,United States,Private,0,1504,40,44096,<=50K
10914,44,bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United States,Private,0,0,40,83809,>50K
10916,38,some-college,Married-civ-spouse,Other-service,Wife,Black,Female,United States,Private,0,0,40,25281,<=50K
10917,35,some-college,Married-civ-spouse,Sales,Husband,White,Male,United States,Private,5013,0,70,22121,<=50K
10924,47,some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,0,0,40,35783,<=50K
10927,35,some-college,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,0,0,45,43075,<=50K
10930,47,hs-grad,Divorced,Machine-op-inspct,Unmarried,White,Female,United States,Private,0,0,40,23021,<=50K
10938,27,5th-6th,Never-married,Other-service,Not-in-family,White,Male,El Salvador,Private,0,0,60,41065,<=50K
10944,27,bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,United States,Private,0,0,20,34753,<=50K
10949,45,bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,United States,Private,0,0,38,66435,>50K
10965,24,bachelors,Never-married,Tech-support,Own-child,White,Male,United States,Private,0,0,40,39663,<=50K
10968,29,some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,United States,Local-gov,0,0,40,37179,<=50K
10970,35,hs-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,United States,Private,0,0,50,89891,>50K
10971,48,hs-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,0,0,40,37302,<=50K
10977,31,hs-grad,Never-married,Craft-repair,Unmarried,White,Male,United States,Private,0,0,40,39833,<=50K
10986,33,assoc-acdm,Divorced,Machine-op-inspct,Not-in-family,White,Female,United States,Private,0,0,42,32130,<=50K
10989,48,some-college,Divorced,Other-service,Own-child,White,Male,United States,State-gov,0,0,40,39422,<=50K
10990,23,hs-grad,Never-married,Sales,Not-in-family,White,Female,United States,Private,0,0,40,25944,<=50K
110,37,some-college,Married-civ-spouse,Exec-managerial,Husband,Black,Male,United States,Private,0,0,80,87356,>50K
11001,30,some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United States,Private,0,0,40,47056,<=50K
11002,35,bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United States,Private,5013,0,40,45659,<=50K
11007,25,hs-grad,Married-civ-spouse,Transport-moving,Husband,Black,Male,United States,Private,0,0,40,41429,<=50K
11016,37,hs-grad,Never-married,Adm-clerical,Own-child,White,Female,United States,Private,0,0,55,25460,<=50K
1102,38,hs-grad,Married-civ-spouse,Prof-specialty,Wife,White,Female,United States,State-gov,0,0,40,69300,>50K
11026,38,bachelors,Never-married,Exec-managerial,Not-in-family,White,Male,United States,Private,0,0,50,31193,<=50K
11028,23,hs-grad,Never-married,Craft-repair,Not-in-family,White,Male,United States,Private,0,0,40,23333,<=50K
11037,39,bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,United States,Private,0,0,45,76269,>50K
11038,28,bachelors,Never-married,Tech-support,Not-in-family,White,Female,United States,Private,0,1980,35,45296,<=50K
11043,26,assoc-voc,Divorced,Exec-managerial,Not-in-family,White,Female,United States,State-gov,0,0,38,35563,<=50K
11044,21,hs-grad,Never-married,Handlers-cleaners,Not-in-family,White,Male,United States,Private,3674,0,50,21005,<=50K
11046,29,assoc-voc,Never-married,Adm-clerical,Own-child,White,Female,United States,Private,0,0,40,30120,<=50K
11052,46,masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,United States,Private,0,0,41,35451,<=50K
11060,36,hs-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,United States,Private,5178,0,40,96643,>50K
11068,36,some-college,Never-married,Craft-repair,Not-in-family,Black,Male,United States,Private,0,0,55,48243,<=50K
11069,29,hs-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,United States,Private,0,0,55,42359,<=50K
11072,37,hs-grad,Never-married,Machine-op-inspct,Not-in-family,White,Male,United States,Private,0,0,40,46098,<=50K
11077,50,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,United States,Self-emp-not-inc,0,0,40,49947,<=50K
11078,39,assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,White,Female,United States,Private,0,0,25,53060,>50K
11081,24,hs-grad,Married-civ-spouse,Other-service,Wife,White,Female,United States,Private,0,0,25,38704,<=50K
11083,30,some-college,Married-civ-spouse,Sales,Husband,Amer-Indian-Eskimo,Male,United States,Self-emp-not-inc,0,0,55,70473,>50K
11091,30,bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,United States,Private,0,0,40,23710,<=50K
11097,33,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,Mexico,Private,0,0,45,33183,<=50K
111,30,bachelors,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,India,State-gov,0,0,40,63086,>50K
11118,43,assoc-voc,,Craft-repair,Husband,White,Male,United States,Private,0,0,40,20136,<=50K
11119,30,some-college,Never-married,Craft-repair,Unmarried,White,Male,United States,Private,0,0,40,34417,<=50K
1112,50,hs-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,United States,Private,3103,0,40,81173,>50K
11126,28,bachelors,Married-civ-spouse,Sales,Husband,White,Male,United States,Private,0,0,60,64127,>50K
11129,32,some-college,Married-civ-spouse,Tech-support,Husband,White,Male,United States,Private,0,0,45,20251,<=50K
11130,27,hs-grad,Never-married,Craft-repair,Not-in-family,White,Male,United States,Self-emp-not-inc,0,0,30,34478,<=50K
11133,43,masters,Divorced,Exec-managerial,Not-in-family,White,Female,United States,Private,0,0,50,55889,>50K
11137,22,10th,Never-married,Craft-repair,Own-child,White,Male,United States,Private,0,0,40,32794,<=50K
11144,47,bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,United States,State-gov,0,0,60,63150,>50K
11153,37,bachelors,Never-married,Craft-repair,Not-in-family,White,Male,United States,Private,0,0,40,41005,<=50K
11161,43,hs-grad,Never-married,Exec-managerial,Not-in-family,Black,Male,United States,Self-emp-inc,0,0,55,33269,<=50K
